Name-additional,yearID,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
murfepe01,2023,Penn Murfee,29,SEA,14,16,0,5,3.21,446.00%,7.00%,-30.00%,0.8,9190.00%,449.00%,200.00%,20.00%,1.24,0,30.00%,3,0.512,0.501,"$727,000 ",Amateur Draft
murphch01,2023,Chris Murphy*,25,BOS,47.2,20,0,27,5.1,458.00%,-12.00%,-26.00%,0,10500.00%,467.00%,-300.00%,-30.00%,0.73,-0.1,10.00%,2,0.486,0.498,,Amateur Draft
musgrjo01,2023,Joe Musgrove,30,SDP,97.1,17,17,35,3.24,464.00%,34.00%,22.00%,0,9240.00%,418.00%,1000.00%,110.00%,,-0.1,190.00%,20,0.564,0.507,"$20,000,000 ",Traded
mushipa01,2023,Parker Mushinski*,27,HOU,14.2,14,0,9,5.52,494.00%,17.00%,-33.00%,0,9660.00%,428.00%,-200.00%,-20.00%,0.53,0,-10.00%,-1,0.484,0.499,,Amateur Draft
naileja01,2023,James Naile,30,STL,15.1,10,0,19,11.15,454.00%,-3.00%,-30.00%,0,9980.00%,426.00%,-1200.00%,-110.00%,0.32,0.3,-60.00%,-10,0.393,0.493,,Free Agency
nardian01,2023,Andrew Nardi*,24,MIA,57.1,63,0,18,2.83,484.00%,-4.00%,-32.00%,0.2,10240.00%,488.00%,1300.00%,130.00%,1.55,0.2,210.00%,19,0.521,0.508,"$723,000 ",Amateur Draft
naughpa01,2023,Packy Naughton*,27,STL,5,4,0,0,0,508.00%,-1.00%,-33.00%,0,9760.00%,464.00%,300.00%,30.00%,0.12,-0.1,20.00%,3,0.568,0.502,"$728,750 ",Waivers
navared01,2023,Edgar Navarro,25,CHW,8.2,8,0,7,7.27,467.00%,-30.00%,-31.00%,0,10440.00%,486.00%,-200.00%,-20.00%,0.24,0.1,-10.00%,-1,0.47,0.499,,Free Agency
nealza01,2023,Zach Neal,34,OAK,27,14,2,22,7.33,479.00%,-52.00%,-12.00%,0,9590.00%,498.00%,-700.00%,-70.00%,0.29,0.1,-40.00%,-4,0.448,0.496,,Free Agency
nelsoky01,2023,Kyle Nelson*,26,ARI,56,68,2,30,4.82,476.00%,24.00%,-30.00%,0,9930.00%,420.00%,-400.00%,-40.00%,1,-0.2,0.00%,2,0.494,0.498,"$728,900 ",Waivers
nelsoni01,2023,Nick Nelson,27,PHI,5.1,1,0,1,1.69,476.00%,-21.00%,22.00%,0,9200.00%,478.00%,200.00%,20.00%,0.92,0,30.00%,2,0.708,0.501,,Traded
